avd,cell_id,n,sum_rv,area_m2,unit_price_per_m2,unit_price_per_km2
2008,1255,14,130700,866297.4800002421,0.1508719614421174,150871.9614421174
2008,1256,34,3579550,903681.2081556097,3.9610760605565436,3961076.060556543
2008,1257,5,31150,972290.1935890634,0.03203776013107203,32037.76013107203
2008,1258,1,7800,861938.3262035549,0.009049371356249399,9049.3713562494
2008,1259,23,292875,800376.8791811466,0.36592136481957843,365921.3648195784
2008,1260,149,2664000,999999.9999999404,2.6640000000001587,2664000.000000159
2008,1261,296,11564950,1000000,11.56495,11564950
2008,1262,166,5995550,981146.1340979338,6.1107614774554575,6110761.477455458
2008,1263,104,4890400,695142.7979542911,7.035101297735903,7035101.2977359025
2008,1265,22,484250,807018.7883774539,0.6000479876975423,600047.9876975424
2008,1266,95,3890550,958885.6411936409,4.0573660015984405,4057366.001598441
2008,1267,112,1031125,1000000,1.031125,1031125
2008,1268,141,1373325,1000000,1.373325,1373325
2008,1269,22,134400,1000000,0.1344,134400
2008,1270,58,334475,1000000,0.334475,334475
2008,1271,57,735600,1000000,0.7356,735600
2008,1272,128,1441725,1000000.0000000298,1.441724999999957,1441724.9999999572
2008,1273,284,3000450,990292.6147411249,3.029862038084931,3029862.0380849307
2008,1274,165,2987300,960857.9231898189,3.1089924201102255,3108992.420110225
2008,1276,51,811100,1000000,0.8111,811100
2008,1277,42,369350,1000000,0.36935,369350
2008,1278,14,99900,1000000,0.0999,99900
2008,1279,5,30600,1000000,0.0306,30600
2008,1280,73,460475,1000000,0.460475,460475
2008,1281,24,176675,1000000,0.176675,176675
2008,1282,16,438800,1000000,0.4388,438800
2008,1283,9,37800,1000000,0.0378,37800
2008,1284,24,181950,1000000,0.18195,181950
2008,1285,19,132600,1000000,0.1326,132600
2008,1286,79,623225,1000000,0.623225,623225
2008,1287,14,68500,1000000,0.0685,68500
2008,1288,6,63975,999892.4611840863,0.06398188053567273,63981.88053567274
2008,1301,12,44575,1000000,0.044575,44575
